CMDLINE /global/homes/t/tommylin/.conda/envs/myenv/bin/python main.py
MEM 6.066406 1707870132.3435
MEM 19.582031 1707870132.4437
MEM 54.015625 1707870132.5440
MEM 73.386719 1707870132.6442
MEM 94.718750 1707870132.7445
MEM 95.664062 1707870132.8447
MEM 113.277344 1707870132.9450
MEM 124.312500 1707870133.0453
MEM 130.308594 1707870133.1455
MEM 135.933594 1707870133.2457
MEM 139.800781 1707870133.3459
MEM 146.761719 1707870133.4461
MEM 156.414062 1707870133.5463
MEM 163.550781 1707870133.6465
MEM 171.468750 1707870133.7467
MEM 177.914062 1707870133.8469
MEM 180.746094 1707870133.9471
MEM 181.003906 1707870134.0473
MEM 181.003906 1707870134.1475
MEM 181.261719 1707870134.2477
MEM 181.261719 1707870134.3478
MEM 188.992188 1707870134.4480
MEM 195.718750 1707870134.5484
MEM 202.945312 1707870134.6486
MEM 208.972656 1707870134.7488
MEM 216.875000 1707870134.8490
MEM 223.250000 1707870134.9492
MEM 231.832031 1707870135.0494
MEM 323.343750 1707870135.1497
MEM 354.656250 1707870135.2500
MEM 366.832031 1707870135.3503
MEM 378.433594 1707870135.4505
MEM 405.503906 1707870135.5508
MEM 405.503906 1707870135.6510
MEM 409.371094 1707870135.7513
MEM 419.425781 1707870135.8515
MEM 448.558594 1707870135.9518
MEM 448.558594 1707870136.0520
MEM 448.558594 1707870136.1522
MEM 439.335938 1707870136.2525
MEM 513.582031 1707870136.3528
MEM 472.367188 1707870136.4536
MEM 556.671875 1707870136.5539
MEM 582.710938 1707870136.6542
MEM 675.265625 1707870136.7546
MEM 673.476562 1707870136.8549
MEM 761.648438 1707870136.9552
MEM 776.261719 1707870137.0555
MEM 847.933594 1707870137.1564
MEM 862.546875 1707870137.2567
MEM 983.203125 1707870137.3571
MEM 949.347656 1707870137.4577
MEM 968.464844 1707870137.5580
MEM 979.292969 1707870137.6583
MEM 1009.714844 1707870137.7585
MEM 1009.714844 1707870137.8587
MEM 1009.714844 1707870137.9591
MEM 1019.769531 1707870138.0593
MEM 1029.824219 1707870138.1595
MEM 1052.769531 1707870138.2597
MEM 1052.769531 1707870138.3599
MEM 1106.910156 1707870138.4607
MEM 1074.613281 1707870138.5611
MEM 1100.648438 1707870138.6614
MEM 1160.718750 1707870138.7617
MEM 1213.054688 1707870138.8621
MEM 1247.085938 1707870138.9624
MEM 1306.125000 1707870139.0628
